title,description,categoryId,condition,reservePrice,retailPrice,color,imageFiles
Apple iPhone 15 Pro,Brand new iPhone 15 Pro 256GB,685d5b0d1d8f6a0012345671,new,850,1100,"Black,Blue","iphone15-1.jpg,iphone15-2.jpg"
Samsung Galaxy S24,Excellent condition Galaxy S24,685d5b0d1d8f6a0012345671,like_new,650,900,Gray,"s24-1.jpg,s24-2.jpg"
Dell XPS 15,Powerful laptop with Intel i7,685d5b0d1d8f6a0012345672,used,900,1500,Silver,"xps15-1.jpg,xps15-2.jpg"
MacBook Air M3,Latest MacBook Air M3 16GB RAM,685d5b0d1d8f6a0012345672,new,1200,1500,Space Gray,"mbair-1.jpg,mbair-2.jpg"
Sony WH-1000XM5,Noise cancelling wireless headphones,685d5b0d1d8f6a0012345673,new,220,350,Black,sony-1.jpg
Canon EOS R10,Mirrorless camera with kit lens,685d5b0d1d8f6a0012345674,open_box,750,980,Black,"canon-1.jpg,canon-2.jpg"
PlayStation 5,Sony PS5 Disc Edition,685d5b0d1d8f6a0012345675,used,420,550,White,ps5-1.jpg
Nintendo Switch OLED,Portable gaming console OLED version,685d5b0d1d8f6a0012345675,like_new,250,350,White,"switch-1.jpg,switch-2.jpg"
Apple Watch Series 9,Smart watch GPS version,685d5b0d1d8f6a0012345676,new,320,450,Midnight,"watch-1.jpg,watch-2.jpg"
Logitech MX Master 3S,Wireless productivity mouse,685d5b0d1d8f6a0012345677,new,75,120,Black,mxmaster-1.jpg
iPad Pro 12.9 M2,Latest iPad Pro with M2 chip 256GB,685d5b0d1d8f6a0012345671,new,950,1200,"Space Gray,Silver","ipadpro-1.jpg,ipadpro-2.jpg"
Google Pixel 8 Pro,Flagship Pixel with best in class camera,685d5b0d1d8f6a0012345671,like_new,600,850,"Obsidian,Porcelain","pixel8-1.jpg,pixel8-2.jpg"
Lenovo ThinkPad X1 Carbon,Business ultrabook 14 inch,685d5b0d1d8f6a0012345672,used,850,1400,Black,"thinkpad-1.jpg,thinkpad-2.jpg"
ASUS ROG Zephyrus G14,Gaming laptop with RTX graphics,685d5b0d1d8f6a0012345672,open_box,1100,1700,White,"rog-1.jpg,rog-2.jpg"
Bose QuietComfort Ultra,Premium noise cancelling headphones,685d5b0d1d8f6a0012345673,new,300,430,Black,bose-1.jpg
JBL Flip 6,Portable waterproof bluetooth speaker,685d5b0d1d8f6a0012345673,like_new,60,130,"Blue,Black",jbl-1.jpg
Fujifilm X-T5,Mirrorless camera for enthusiasts,685d5b0d1d8f6a0012345674,new,1300,1700,"Black,Silver","fuji-1.jpg,fuji-2.jpg"
GoPro Hero 12,Action camera with waterproof case,685d5b0d1d8f6a0012345674,used,280,400,Black,"gopro-1.jpg,gopro-2.jpg"
Xbox Series X,Microsoft Xbox 1TB console,685d5b0d1d8f6a0012345675,new,450,500,Black,xboxx-1.jpg
Samsung Galaxy Watch 6,Advanced fitness tracking smartwatch,685d5b0d1d8f6a0012345676,new,220,330,"Graphite,Gold","galaxywatch-1.jpg,galaxywatch-2.jpg"
