,title,description,categoryId,condition,reservePrice,retailPrice,color,imageFiles
,Apple iPhone 15 Pro,Brand new iPhone 15 Pro 256GB,685d5b0d1d8f6a0012345671,new,850,1100,"Black,Blue","iphone15-1.jpg,iphone15-2.jpg"
,Samsung Galaxy S24,Excellent condition Galaxy S24,685d5b0d1d8f6a0012345671,like_new,650,900,Gray,"s24-1.jpg,s24-2.jpg"
,Dell XPS 15,Powerful laptop with Intel i7,685d5b0d1d8f6a0012345672,used,900,1500,Silver,"xps15-1.jpg,xps15-2.jpg"
,MacBook Air M3,Latest MacBook Air M3 16GB RAM,685d5b0d1d8f6a0012345672,new,1200,1500,Space Gray,"mbair-1.jpg,mbair-2.jpg"
,Sony WH-1000XM5,Noise cancelling wireless headphones,685d5b0d1d8f6a0012345673,new,220,350,Black,sony-1.jpg
,Canon EOS R10,Mirrorless camera with kit lens,685d5b0d1d8f6a0012345674,open_box,750,980,Black,"canon-1.jpg,canon-2.jpg"
,PlayStation 5,Sony PS5 Disc Edition,685d5b0d1d8f6a0012345675,used,420,550,White,ps5-1.jpg
,Nintendo Switch OLED,Portable gaming console OLED version,685d5b0d1d8f6a0012345675,like_new,250,350,White,"switch-1.jpg,switch-2.jpg"
,Apple Watch Series 9,Smart watch GPS version,685d5b0d1d8f6a0012345676,new,320,450,Midnight,"watch-1.jpg,watch-2.jpg"
,Logitech MX Master 3S,Wireless productivity mouse,685d5b0d1d8f6a0012345677,new,75,120,Black,mxmaster-1.jpg
